"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.6742055519,1.0000000000,0.0635221673,0.0175131114,0.0872300791,0.0536962474,0.0447602117,0.0551118171,0.5811957756,0.2146694011,0.1952392557,0.9343672650,0.1952889625,0.4092744064,0.4984970270,0.3226095258,0.5542443254,0.2190111500,0.0000000000,0.1453986816,0.3948564844,0.2915386246,0.0000000000,0.0000000000,1.0000000000,0.9435028249,0.1000000000,0.3500000000,4.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,11.0000000000,yes
0.7581805676,0.9441958489,0.0000000000,0.0013275766,0.1177846249,0.0269154254,0.0459193747,0.3376070043,0.5835585161,0.1767279490,0.1012309362,0.4280058169,0.4352427904,0.4360179692,1.0000000000,0.3308099237,0.4885459948,0.1219641884,0.5322580727,0.1437093700,0.3910522156,0.4287732683,0.0000000000,0.0000000000,1.0000000000,0.4350282486,0.1000000000,0.3500000000,5.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,11.0000000000,yes
0.6557115197,0.2108537343,0.1194999050,0.0167067720,0.1626616668,0.0196855768,0.0491019170,1.0000000000,0.5989800544,0.2807892709,0.0636850788,0.2620093942,0.7680024705,0.4951796547,0.2314739736,0.3554908651,0.2129449208,0.0708669033,0.8387096903,0.1420895168,0.3921943055,0.6285719332,0.0000000000,0.0000000000,1.0000000000,0.2655367232,0.1000000000,0.3500000000,6.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,11.0000000000,yes
0.6519854788,0.0563235045,0.2033272466,0.0334849767,0.1410921697,0.0247945164,0.0534067192,0.8582718453,0.5999800525,0.1230519733,0.1045102723,0.6480733203,0.4858628209,0.5313929032,0.1468788234,0.8153629267,0.2905202946,0.0908906242,0.7580645278,0.1413489587,0.3903451668,0.5379622761,0.0000000000,0.0000000000,1.0000000000,0.6553672316,0.1000000000,0.3500000000,7.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,11.0000000000,yes
0.6279642039,0.0122462036,0.1199387673,0.0216690112,0.1207734917,0.0290365497,0.0493865925,0.6808733347,0.6022251461,0.1729844238,0.1089007182,0.5796106917,0.4262194705,0.3557618879,0.2153478911,0.7241819472,0.2752354959,0.1046824905,0.5645161377,0.1419138806,0.3810054840,0.6056479814,0.0000000000,0.0000000000,1.0000000000,0.5875706215,0.1000000000,0.3500000000,8.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,11.0000000000,yes
0.6370278526,0.0205972565,0.2188797445,0.0254821769,0.2006911817,0.0259299742,0.0378669016,0.5442062412,0.6045976904,0.3865407884,0.0791117178,0.2848168043,0.6468498409,0.5438115341,0.1026319995,0.3598147029,0.2818551375,0.0674340368,0.5483871052,0.1556376831,0.3676358181,0.8248825545,0.0000000000,0.0000000000,1.0000000000,0.2881355932,0.1000000000,0.3500000000,9.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,11.0000000000,yes
0.4301251690,0.0000000000,0.4652069180,0.0594183054,0.2257818543,0.0285029722,0.0472956212,0.9162858937,0.6062937655,0.3869713871,0.0000000000,0.5535687073,1.0000000000,1.0000000000,0.0180685455,0.1824817021,0.2067161957,0.0699739917,0.4838709752,0.1613142598,0.3499848137,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.5593220339,0.1000000000,0.3500000000,10.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,11.0000000000,yes
0.5147205618,0.0992454321,0.1428210882,0.0235285227,0.3398348625,0.0566674041,0.0648868991,0.5171461257,0.5663330597,0.3313115582,0.0472588523,0.5289862650,0.8631742624,0.0000000000,0.0311602720,0.1634889485,0.2306251482,0.0998585969,0.4193548452,0.1584445146,0.3321105545,0.5789445798,0.0000000000,0.0000000000,1.0000000000,0.5367231638,0.2000000000,0.5000000000,0.0000000000,4.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,11.0000000000,yes
0.4310231152,0.1476732589,0.1400335578,0.0287751920,0.3328552383,0.0725399708,0.0761597102,0.3909125010,0.5896565433,0.2891108535,0.1706248550,0.6869579919,0.1338987850,0.7048562820,0.1049065231,0.0947883466,0.2009276152,0.1167170740,0.3225806501,0.1518410348,0.3158175983,0.3473826428,0.0000000000,0.0000000000,1.0000000000,0.6949152542,0.2000000000,0.5000000000,1.0000000000,4.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,6.0000000000,no
0.2083881619,0.3795307002,0.1933573589,0.0464258441,0.3357345302,0.0897346901,0.0886732970,0.3698344889,0.6316466569,0.1707374804,0.1899707877,0.7468643685,0.1853584972,0.6264285162,0.1158694814,0.0218068019,0.2204106010,0.1483418249,0.2903225851,0.1391876152,0.3030618905,0.3159372682,0.0000000000,0.0000000000,1.0000000000,0.7570621469,0.2000000000,0.5000000000,2.0000000000,4.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,6.0000000000,no
