"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.5843343311,0.3892611818,0.5496132964,0.0209000210,0.1845278839,0.0309842402,0.0221231658,0.0547457120,0.2803896845,0.2435699927,0.0461118014,0.6472042053,0.5379323476,0.5809059881,0.4598487654,0.3953760138,0.3950971033,0.0666448758,0.1994082846,0.2943889820,1.0000000000,0.9122898611,0.0000000000,0.0000000000,1.0000000000,0.6459330144,0.3000000000,0.6000000000,3.0000000000,3.0000000000,7.0000000000,0.3182747567,3.0000000000,0.5000000000,10.0000000000,no
0.5964369408,0.3408737117,0.7546825647,0.0041246635,0.1239784850,0.0259443644,0.0223544027,0.2749216325,0.2793410757,0.2014091022,0.0514024123,0.6207002834,0.2442892274,0.8854910134,0.6053258504,0.3911467739,0.4322407371,0.0675068905,0.4479290119,0.2952839634,0.9823279925,0.9498799206,0.0000000000,0.0000000000,1.0000000000,0.6220095694,0.3000000000,0.6000000000,4.0000000000,3.0000000000,7.0000000000,0.3174267915,3.0000000000,0.5000000000,10.0000000000,no
0.7171805161,0.3097342060,0.7433554775,0.0000000000,0.1224333986,0.0324273861,0.0213390910,0.0643659132,0.2776153292,0.2488719087,0.0586356487,0.6317820186,0.1835077486,0.9033122590,0.8735265969,0.3848767406,0.4081491297,0.0802197593,0.4905325640,0.2969212407,0.8586239397,0.9498799206,0.0000000000,0.0000000000,1.0000000000,0.6315789474,0.3000000000,0.6000000000,5.0000000000,3.0000000000,7.0000000000,0.3167321346,3.0000000000,0.5000000000,10.0000000000,no
0.7784734886,0.3062707245,1.0000000000,0.0127071433,0.1288913727,0.0324835935,0.0247013402,0.1655611145,0.2755541152,0.2605335889,0.0635503795,0.6398226735,0.0700136614,0.7383933429,1.0000000000,0.3774599826,0.4407754791,0.0848218248,0.4905325640,0.2993380159,0.9705466541,0.9498799206,0.0000000000,0.0000000000,1.0000000000,0.6411483254,0.3000000000,0.6000000000,6.0000000000,3.0000000000,7.0000000000,0.3236711234,3.0000000000,0.5000000000,10.0000000000,no
1.0000000000,0.1495952038,0.9021256489,0.0353210770,0.1391329538,0.0296099296,0.0243227564,0.2174508564,0.2434055862,0.1876184537,0.0576419882,0.5869987558,0.1321550808,0.4084549590,0.8279947313,0.3702661687,0.4810823012,0.0733672648,0.8508875467,0.2993666519,0.9204759661,0.9498799206,0.0000000000,0.0000000000,1.0000000000,0.5837320574,0.3000000000,0.6000000000,7.0000000000,3.0000000000,7.0000000000,0.3233651964,3.0000000000,0.5000000000,10.0000000000,no
0.9360130574,0.0651695862,0.7678402741,0.0544883520,0.1392803229,0.0298342142,0.0304395328,0.4323121184,0.2835962144,0.2132208457,0.0657940139,0.6293742975,0.1087531762,0.4952638369,0.7523079611,0.3641764579,0.3947428012,0.0778515967,0.5970414229,0.2973117791,0.7290292177,0.7055445338,0.0000000000,0.0000000000,1.0000000000,0.6267942584,0.3000000000,0.6000000000,8.0000000000,3.0000000000,7.0000000000,0.3230847634,3.0000000000,0.5000000000,10.0000000000,no
0.6441158381,0.0000000000,0.4435110438,0.0855611541,0.2152661034,0.0439674485,0.0413345331,0.3706620613,0.2672781643,0.2250113795,0.0766449206,0.8198479523,0.1335324868,0.7288052300,0.6316913357,0.4025485511,0.2351122424,0.1014389381,1.0000000000,0.2939301440,0.5994344958,0.6867495040,0.0000000000,0.0000000000,1.0000000000,0.8181818182,0.3000000000,0.6000000000,9.0000000000,3.0000000000,7.0000000000,0.3228276998,3.0000000000,0.5000000000,10.0000000000,no
0.5820779364,0.2600359947,0.3684072426,0.1283210860,0.3113241444,0.0673883767,0.0589093193,0.2777145607,0.2592696785,0.3730388757,0.0952227061,1.0000000000,0.1889092799,0.6697181287,0.5175465134,0.4265371874,0.0922732741,0.1423299733,0.5153846113,0.2903168249,0.6023798303,0.6867495040,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.4000000000,0.6500000000,10.0000000000,3.0000000000,8.0000000000,0.3225920581,3.0000000000,0.5000000000,10.0000000000,no
0.4452193333,0.3732487283,0.3962726664,0.2000671382,0.3584168677,0.0873223450,0.0737901441,0.2409358565,0.2177011347,0.4628306421,0.1136970285,0.9475384643,0.2481119146,1.0000000000,0.3864364549,0.4358400920,0.0335129121,0.1926488486,0.2224852069,0.2884308222,0.6495051838,0.6867495040,0.0000000000,0.0000000000,1.0000000000,0.9473684211,0.4000000000,0.6500000000,11.0000000000,3.0000000000,8.0000000000,0.3190427200,3.0000000000,0.5000000000,3.0000000000,no
0.4651071667,0.4768522537,0.5508041374,0.2529489867,0.3902501326,0.1160637115,0.0856926051,0.0000000000,0.2839702561,0.5176444711,0.1373868438,0.8986265421,0.2682804706,0.9735405004,0.3375874167,0.4235194870,0.0205514409,0.2706881372,0.3680473465,0.2887157304,0.8026625825,0.8934948314,0.0000000000,0.0000000000,1.0000000000,0.9186602871,0.4000000000,0.6500000000,12.0000000000,3.0000000000,8.0000000000,0.3157891600,3.0000000000,0.5000000000,3.0000000000,no
