"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
#VALUE!,#VALUE!,0.25137696909,0.10145954789,0.06308333474,0.03084008065,0.02954020604,0.06116609597,#VALUE!,0.05414838092,0.05748035928,0.73275087926,0.81209919405,0.64694680200,0.64413434931,0.41588369415,0.05729629781,0.11060623057,0.17806556567,0.13219081522,0.71262172545,0.06673973438,0.00000000000,0.00000000000,0.00000000000,0.84422110553,1.0000000,1.0000000,100.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.24373467352,0.09343703838,0.07929157760,0.03470907977,0.03288893765,0.17702518880,#VALUE!,0.12470290127,0.06696554582,0.69535590874,0.81460514847,0.67021115318,0.64713045008,0.42755016314,0.21755242702,0.12141745593,0.07244029805,0.12522444917,0.68088159272,0.05488381037,0.00000000000,0.00000000000,0.00000000000,0.78894472362,1.0000000,1.0000000,101.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.22157697593,0.09113046223,0.03180525661,0.03284070908,0.03193831510,0.26830526760,#VALUE!,0.07725739815,0.07083942820,0.41686011908,0.98758364553,0.67821468045,0.64690445722,0.43984486158,0.27299055839,0.11664251207,0.11129097203,0.12391100854,0.66504454713,0.06018561327,0.00000000000,0.00000000000,0.00000000000,0.47236180905,1.0000000,1.0000000,102.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.20372306499,0.09531875161,0.09254957125,0.03334740280,0.03291200597,0.32027768657,#VALUE!,0.07717802555,0.06909355252,0.55044474963,0.91608338376,0.68020228672,0.64458526245,0.40319112311,0.29314266691,0.08571197422,0.14285712384,0.12620134992,0.67382317171,0.12121291901,0.00000000000,1.00000000000,0.00000000000,0.62814070352,1.0000000,1.0000000,103.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.20474993760,0.07849820809,0.14064023782,0.03959769264,0.04188543583,0.61485060275,#VALUE!,0.07746635664,0.07391637021,0.72681981552,0.83463602010,0.69116909977,0.63965534624,0.37522926537,0.21186376168,0.08649082072,0.11978954747,0.13262775896,0.67615728670,0.16161220713,0.00000000000,1.00000000000,0.00000000000,0.82914572864,1.0000000,1.0000000,104.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.22670060109,0.07164567451,0.13316526058,0.04145965820,0.04491213287,0.63717810404,#VALUE!,0.00000000000,0.08357872374,0.32009731763,0.49528636917,0.68258933659,0.60523734947,0.35845500011,0.24179190931,0.08709023835,0.27276406450,0.14605559170,0.68408108516,0.21227160865,0.00000000000,1.00000000000,0.00000000000,0.36180904523,1.0000000,1.0000000,105.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.23445198968,0.06037596313,0.14204186409,0.04934192389,0.05282124466,0.59674468784,#VALUE!,0.09019642023,0.09940370563,0.77457837805,0.48746941814,0.68661740696,0.58667626173,0.35700178639,0.23825583618,0.10448082698,0.22905704723,0.15697936843,0.70677997605,0.25628286888,0.00000000000,1.00000000000,0.00000000000,0.88442211055,1.0000000,1.0000000,106.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.24428545046,0.04601007880,0.19451506377,0.06652890740,0.07166428933,0.65331394531,#VALUE!,0.22093913154,0.11797260582,0.87794512861,0.63713395936,0.67633122839,0.57028643340,0.37234940151,0.14517416895,0.14471844451,0.09672197110,0.15873506727,0.70625843943,0.25257432061,0.00000000000,1.00000000000,0.00000000000,1.00000000000,1.0000000,1.0000000,107.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.28617409969,0.03777049518,0.25192086373,0.08650578988,0.09125967726,0.59580655753,#VALUE!,0.15332982787,0.14054428616,0.66229459141,0.78432065869,0.67192000375,0.55251787012,0.39971704875,0.12316362293,0.18570080446,0.05180088610,0.15890478110,0.71763599537,0.24433503582,0.00000000000,1.00000000000,0.00000000000,0.75376884422,1.0000000,1.0000000,108.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.35106736335,0.03292895886,0.23016398972,0.09625204618,0.10420277873,0.72334537267,#VALUE!,0.06269311001,0.15625235330,0.38717117591,0.93565297238,0.62023384962,0.53252435683,0.43686127540,0.15171744553,0.22038181958,0.01659247320,0.15824439470,0.69079861111,0.23399466153,0.00000000000,1.00000000000,0.00000000000,0.44221105528,1.0000000,1.0000000,109.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
