"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.0000000000,0.0000000000,0.1059420239,0.0133820565,0.8732917895,0.0363889592,0.0295489934,0.1375750580,0.0961752632,0.2588523870,0.0229014991,0.7638958495,0.4282817712,0.8233954510,0.3636459743,0.4005882795,0.2830667720,0.0446938607,0.0561797647,0.2801751001,0.7708953742,0.8732882103,0.0000000000,1.0000000000,0.0000000000,0.7365269461,0.0000000000,0.3000000000,15.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.7677537425,0.0157489063,0.8197155230,0.0425254830,0.0351026334,0.1968369359,0.0966776960,0.3096354946,0.0302080383,0.8015402067,0.4140349000,0.7584311033,0.4808464000,0.4005882795,0.2331665964,0.0586099401,0.0280898824,0.3552119137,1.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.7784431138,0.0000000000,0.3000000000,16.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.5839044004,0.0179906795,0.6889205623,0.0450492242,0.0374540544,0.2462734554,0.0965171766,0.2423956322,0.0355176192,0.6025471596,0.2378399451,0.5565830652,0.5521711762,0.4005882795,0.4882466919,0.0738884051,0.0000000000,0.4109239340,0.5930117133,0.6699197229,0.0000000000,1.0000000000,0.0000000000,0.5568862275,0.0000000000,0.3000000000,17.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.6082491159,0.0198805302,0.4997934630,0.0441661489,0.0372667283,0.3453284122,0.0966854999,0.1048159752,0.0404371682,0.6803668303,0.1254962552,0.4328953206,0.5707848253,0.6125648778,0.4866014008,0.0829655355,0.0355805340,0.4749133497,0.4527496526,0.5848418070,0.0000000000,1.0000000000,0.0000000000,0.6467065868,0.0000000000,0.3000000000,18.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.9159154015,0.0226551947,0.4036529086,0.0464210209,0.0389418470,0.3771011018,0.0975394033,0.1131101898,0.0466986576,0.6931089391,0.1835117957,0.2569302499,0.5003443646,0.7332125635,0.4672878376,0.0931294712,0.2228464463,0.4716471310,0.5323605321,0.6472532662,0.0000000000,1.0000000000,0.0000000000,0.6586826347,0.0000000000,0.3000000000,19.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.9947062048,0.0285107746,0.3605428233,0.0433935146,0.0365624941,0.4184223336,0.0948286691,0.0698075271,0.0462858681,0.1886315844,0.0959101931,0.1808200916,0.2389751432,0.8322905214,1.0000000000,0.0787484186,0.5187265734,0.4981926737,0.3352193766,0.4600975917,0.0000000000,1.0000000000,0.0000000000,0.0958083832,0.0000000000,0.3000000000,20.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.8491644610,0.0287334464,0.3158016860,0.0401804424,0.0344892467,0.4555448041,0.1008441977,0.2133109104,0.0446565215,0.2939483770,0.0188427799,0.3723260049,0.3157711496,0.7370195831,0.8617515606,0.0646916462,1.0000000000,0.4602361141,0.1870160810,0.3578624272,0.0000000000,1.0000000000,0.0000000000,0.2095808383,0.0000000000,0.3000000000,21.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.5926284282,0.0342455954,0.4608611404,0.0509521208,0.0436010918,0.4077089351,0.0941832874,0.3805741235,0.0499013060,0.8005762155,0.0976938796,0.6769684663,0.3555964855,0.5453252789,0.6399180920,0.0673264147,0.6554306929,0.4162326888,0.1012507445,0.2610577680,0.0000000000,1.0000000000,0.0000000000,0.7784431138,0.0000000000,0.3000000000,22.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.1031154049,0.0386916328,0.6280869971,0.0686797835,0.0607699200,0.5822870593,0.0987182658,0.4131050486,0.0583051006,0.8255273634,0.1389935781,0.4806755930,0.4217658767,0.3261420682,0.3227757751,0.0773531951,0.3838951112,0.3669888615,0.0850704785,0.2470486384,0.0000000000,1.0000000000,0.0000000000,0.8083832335,0.0000000000,0.3000000000,23.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.2455854973,0.0466382069,0.5690565206,0.0799369216,0.0713782346,0.6271163042,0.0969086658,0.2238070645,0.0720345156,0.7663315182,0.1729572466,0.7592253181,0.5324101215,0.1254146349,0.2991301792,0.0988564819,0.1591760076,0.4041564051,0.1145523129,0.2919093342,0.0000000000,1.0000000000,0.0000000000,0.7425149701,0.0000000000,0.3000000000,24.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
