"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,Real effective exchange rate index (2010 = 100),General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.778473489,0.306270725,1,0.004567796,0.128891373,0.032483594,0.02470134,0.165561115,0.275554115,0.260533589,0.06355038,0.064639495,0.639822674,0.070013661,0.254366084,0.738393343,1,0.377459983,0.530457643,0.440775479,0.084821825,0.490532564,0.299338016,0.970546654,0.949879921,0,0,1,0.641148325,0.3,0.6,6,3,7,0.323671123,3,0.5,10,0
1,0.149595204,0.902125649,0.005654687,0.139132954,0.02960993,0.024322756,0.217450856,0.243405586,0.187618454,0.057641988,0.05924484,0.586998756,0.132155081,0.283159583,0.408454959,0.827994731,0.370266169,0.567406194,0.481082301,0.073367265,0.850887547,0.299366652,0.920475966,0.949879921,0,0,1,0.583732057,0.3,0.6,7,3,7,0.323365196,3,0.5,10,0
0.936013057,0.065169586,0.767840274,0.008132112,0.139280323,0.029834214,0.030439533,0.432312118,0.283596214,0.213220846,0.065794014,0.0670588,0.629374298,0.108753176,0.262470688,0.495263837,0.752307961,0.364176458,0.578109788,0.394742801,0.077851597,0.597041423,0.297311779,0.729029218,0.705544534,0,0,1,0.626794258,0.3,0.6,8,3,7,0.323084763,3,0.5,10,0
0.644115838,0,0.443511044,0.01298264,0.215266103,0.043967449,0.041334533,0.370662061,0.267278164,0.22501138,0.076644921,0.080911255,0.819847952,0.133532487,0.383673666,0.72880523,0.631691336,0.402548551,0.543217311,0.235112242,0.101438938,1,0.293930144,0.599434496,0.686749504,0,0,1,0.818181818,0.3,0.6,9,3,7,0.3228277,3,0.5,10,0
0.582077936,0.260035995,0.368407243,0.021409507,0.311324144,0.067388377,0.058909319,0.277714561,0.259269679,0.373038876,0.095222706,0.101641003,1,0.18890928,0.430858355,0.669718129,0.517546513,0.426537187,0.520824449,0.092273274,0.142329973,0.515384611,0.290316825,0.60237983,0.686749504,0,0,1,1,0.4,0.65,10,3,8,0.322592058,3,0.5,10,0
0.445219333,0.373248728,0.396272666,0.035197301,0.358416868,0.087322345,0.073790144,0.240935857,0.217701135,0.462830642,0.113697029,0.121350101,0.947538464,0.248111915,0.438688888,1,0.386436455,0.435840092,0.489281498,0.033512912,0.192648849,0.222485207,0.288430822,0.649505184,0.686749504,0,0,1,0.947368421,0.4,0.65,11,3,8,0.31904272,3,0.5,3,0
0.465107167,0.476852254,0.550804137,0.050481216,0.390250133,0.116063712,0.085692605,0,0.283970256,0.517644471,0.137386844,0.145730586,0.898626542,0.268280471,0.425125429,0.9735405,0.337587417,0.423519487,0.44850804,0.020551441,0.270688137,0.368047347,0.28871573,0.802662583,0.893494831,0,0,1,0.918660287,0.4,0.65,12,3,8,0.31578916,3,0.5,3,0
0.325410864,0.578809396,0.612386086,0.067468643,0.415607591,0.137157904,0.104624178,0.039127493,0.285838308,0.407842219,0.160302946,0.169737594,0.773930791,0.262167111,0.424072982,0.727330424,0.291418933,0.399090892,0.417992037,0,0.323810448,0.442603573,0.291602186,0.871877945,1,0,0,1,0.765550239,0.1,0.45,0,3,4,0.309473397,3,0.5,3,0
0.352492785,0.63972269,0.497481044,0.078928118,0.410736645,0.150469722,0.122570297,0.136553068,0.242128114,0.38700494,0.186390882,0.194352694,0.751233683,0.199872045,0.374484547,0.571253389,0.295935122,0.373673819,0.38467082,0.075653376,0.347381108,0.215384622,0.297061444,0.643614515,0.63976193,0,0,1,0.803827751,0.9,0.95,0,7,8,0.30701728,3,0.5,2,0
0.324545802,0.864189279,0.306556253,0.095520721,0.408770039,0.17450655,0.141643767,0.170985386,0.045147149,0.319990811,0.212887149,0.226823136,0.759288682,0.167074609,0.453450565,0.7110647,0.292320248,0.344625135,0.353109047,0.19887823,0.401872173,0.24023669,0.305128759,0.572926484,0.6209669,0,0,1,0.779904306,0.9,0.95,1,7,8,0.308099174,3,0.5,13,0
